Date,Adj Close,Volume,Adj Close Change,COVID-19
10/1/2017,40.591652,2017165200,0%,0
11/1/2017,41.266426,2402653600,1.64%,0
12/1/2017,40.783367,2124735200,-1.18%,0
1/1/2018,40.349579,2638717600,-1.08%,0
2/1/2018,42.925804,3711577200,6.00%,0
3/1/2018,40.598782,2854910800,-5.73%,0
4/1/2018,39.988998,2664617200,-1.52%,0
5/1/2018,45.218109,2483905200,11.56%,0
6/1/2018,44.964947,2110498000,-0.56%,0
7/1/2018,46.223221,1574765600,2.72%,0
8/1/2018,55.293457,2801275600,16.40%,0
9/1/2018,55.026672,2715888000,-0.48%,0
10/1/2018,53.349594,3158994000,-3.14%,0
11/1/2018,43.530891,3845305600,-22.56%,0
12/1/2018,38.585068,3595690000,-12.82%,0
1/1/2019,40.713184,3312349600,5.23%,0
2/1/2019,42.354534,1890162400,3.88%,0
3/1/2019,46.663288,2603925600,9.23%,0
4/1/2019,49.296772,2024470800,5.34%,0
5/1/2019,43.007851,2957826400,-14.62%,0
6/1/2019,48.808441,2060874800,11.88%,0
7/1/2019,52.53714,1895406800,7.10%,0
8/1/2019,51.47673,2724326400,-2.06%,0
9/1/2019,55.442406,2170268400,7.15%,0
10/1/2019,61.579021,2433210800,9.97%,0
11/1/2019,66.156113,1793326000,6.92%,0
12/1/2019,72.9095,2388794800,9.26%,1
1/1/2020,76.847343,2934370400,5.12%,1
2/1/2020,67.871758,3019851200,-13.22%,1
3/1/2020,63.28677,6280072400,-7.24%,1
4/1/2020,73.119873,1761450200,13.45%,1
5/1/2020,79.127747,2806405200,7.59%,1
6/1/2020,91.035858,3243375600,13.08%,1
7/1/2020,106.068756,3020496000,14.17%,1
8/1/2020,128.807755,4070623100,17.65%,1
9/1/2020,115.809998,3885767100,-11.22%,1
