Date,Adj Close,Volume,Adj Close Change,COVID-19
10/1/2017,180.059998,318146600,0%,0
11/1/2017,177.179993,350998700,-1.63%,0
12/1/2017,176.460007,317095800,-0.41%,0
1/1/2018,186.889999,495655700,5.58%,0
2/1/2018,178.320007,516251600,-4.81%,0
3/1/2018,159.789993,996201700,-11.60%,0
4/1/2018,172,750072700,7.10%,0
5/1/2018,191.779999,401144100,10.31%,0
6/1/2018,194.320007,387265600,1.31%,0
7/1/2018,172.580002,647030700,-12.60%,0
8/1/2018,175.729996,548832700,1.79%,0
9/1/2018,164.460007,500468800,-6.85%,0
10/1/2018,151.789993,622446300,-8.35%,0
11/1/2018,140.610001,518151700,-7.95%,0
12/1/2018,131.089996,558786200,-7.26%,0
1/1/2019,166.690002,527547900,21.36%,0
2/1/2019,161.449997,302243200,-3.25%,0
3/1/2019,166.690002,388182300,3.14%,0
4/1/2019,193.399994,382184300,13.81%,0
5/1/2019,177.470001,286821500,-8.98%,0
6/1/2019,193,426410300,8.05%,0
7/1/2019,194.229996,351062500,0.63%,0
8/1/2019,185.669998,294694900,-4.61%,0
9/1/2019,178.080002,264538500,-4.26%,0
10/1/2019,191.649994,326207200,7.08%,0
11/1/2019,201.639999,258303900,4.95%,0
12/1/2019,205.25,276257100,1.76%,1
1/1/2020,201.910004,347314600,-1.65%,1
2/1/2020,192.470001,317576800,-4.90%,1
3/1/2020,166.800003,649467700,-15.39%,1
4/1/2020,204.710007,541455800,18.52%,1
5/1/2020,225.089996,509591000,9.05%,1
6/1/2020,227.070007,547998800,0.87%,1
7/1/2020,253.669998,517670100,10.49%,1
8/1/2020,293.200012,574274100,13.48%,1
9/1/2020,261.899994,499103600,-11.95%,1
