Date,Adj Close,Volume,Adj Close Change,COVID-19
10/1/2017,79.537865,449950000,0%,0
11/1/2017,80.484512,421926000,1.18%,0
12/1/2017,82.205322,466203300,2.09%,0
1/1/2018,91.306129,574258400,9.97%,0
2/1/2018,90.114471,725663300,-1.32%,0
3/1/2018,88.123955,750754800,-2.26%,0
4/1/2018,90.296387,668130700,2.41%,0
5/1/2018,95.433014,509417900,5.38%,0
6/1/2018,95.623627,602585200,0.20%,0
7/1/2018,102.867409,569352300,7.04%,0
8/1/2018,108.928123,456628100,5.56%,0
9/1/2018,111.33313,480255500,2.16%,0
10/1/2018,103.973877,927548000,-7.08%,0
11/1/2018,107.945564,720228600,3.68%,0
12/1/2018,99.300156,944314600,-8.71%,0
1/1/2019,102.096245,714212800,2.74%,0
2/1/2019,109.526405,469095900,6.78%,0
3/1/2019,115.796768,589095800,5.41%,0
4/1/2019,128.2267,433157700,9.69%,0
5/1/2019,121.432449,547218800,-5.60%,0
6/1/2019,132.012497,508316500,8.01%,0
7/1/2019,134.288925,484547500,1.70%,0
8/1/2019,135.855804,584474300,1.15%,0
9/1/2019,137.465027,472544800,1.17%,0
10/1/2019,141.756165,549523400,3.03%,0
11/1/2019,149.67601,392371800,5.29%,0
12/1/2019,156.455429,450303300,4.33%,1
1/1/2020,168.886551,558530000,7.36%,1
2/1/2020,160.73143,887625300,-5.07%,1
3/1/2020,156.892731,1612695500,-2.45%,1
4/1/2020,178.281311,984523900,12.00%,1
5/1/2020,182.300385,688938200,2.20%,1
6/1/2020,203.019226,764905600,10.21%,1
7/1/2020,204.51561,770510200,0.73%,1
8/1/2020,224.98613,692473600,9.10%,1
9/1/2020,210.330002,768193600,-6.97%,1
